# Name,X,Y,PHASE,MAG
FE_MEBT:BPM_D1056,FE_MEBT:BPM_D1056:XPOS_RD,FE_MEBT:BPM_D1056:YPOS_RD,FE_MEBT:BPM_D1056:PHASE_RD,FE_MEBT:BPM_D1056:MAG_RD
FS1_CSS:BPM_D2369,FS1_CSS:BPM_D2369:XPOS_RD,FS1_CSS:BPM_D2369:YPOS_RD,FS1_CSS:BPM_D2369:PHASE_RD,FS1_CSS:BPM_D2369:MAG_RD
FS1_CSS:BPM_D2383,FS1_CSS:BPM_D2383:XPOS_RD,FS1_CSS:BPM_D2383:YPOS_RD,FS1_CSS:BPM_D2383:PHASE_RD,FS1_CSS:BPM_D2383:MAG_RD
FS1_BBS:BPM_D2421,FS1_BBS:BPM_D2421:XPOS_RD,FS1_BBS:BPM_D2421:YPOS_RD,FS1_BBS:BPM_D2421:PHASE_RD,FS1_BBS:BPM_D2421:MAG_RD
FS1_BTS:BPM_D2424,FS1_BTS:BPM_D2424:XPOS_RD,FS1_BTS:BPM_D2424:YPOS_RD,FS1_BTS:BPM_D2424:PHASE_RD,FS1_BTS:BPM_D2424:MAG_RD
FS1_SEE:BPM_D2449,FS1_SEE:BPM_D2449:XPOS_RD,FS1_SEE:BPM_D2449:YPOS_RD,FS1_SEE:BPM_D2449:PHASE_RD,FS1_SEE:BPM_D2449:MAG_RD
FS1_BBS:BPM_D2466,FS1_BBS:BPM_D2466:XPOS_RD,FS1_BBS:BPM_D2466:YPOS_RD,FS1_BBS:BPM_D2466:PHASE_RD,FS1_BBS:BPM_D2466:MAG_RD
FS1_BTS:BPM_D2467,FS1_BTS:BPM_D2467:XPOS_RD,FS1_BTS:BPM_D2467:YPOS_RD,FS1_BTS:BPM_D2467:PHASE_RD,FS1_BTS:BPM_D2467:MAG_RD
FS1_BTS:BPM_D2486,FS1_BTS:BPM_D2486:XPOS_RD,FS1_BTS:BPM_D2486:YPOS_RD,FS1_BTS:BPM_D2486:PHASE_RD,FS1_BTS:BPM_D2486:MAG_RD
FS1_SEE:BPM_D2487,FS1_SEE:BPM_D2487:XPOS_RD,FS1_SEE:BPM_D2487:YPOS_RD,FS1_SEE:BPM_D2487:PHASE_RD,FS1_SEE:BPM_D2487:MAG_RD
FS1_BMS:BPM_D2502,FS1_BMS:BPM_D2502:XPOS_RD,FS1_BMS:BPM_D2502:YPOS_RD,FS1_BMS:BPM_D2502:PHASE_RD,FS1_BMS:BPM_D2502:MAG_RD
FS1_BMS:BPM_D2537,FS1_BMS:BPM_D2537:XPOS_RD,FS1_BMS:BPM_D2537:YPOS_RD,FS1_BMS:BPM_D2537:PHASE_RD,FS1_BMS:BPM_D2537:MAG_RD
FS1_BMS:BPM_D2587,FS1_BMS:BPM_D2587:XPOS_RD,FS1_BMS:BPM_D2587:YPOS_RD,FS1_BMS:BPM_D2587:PHASE_RD,FS1_BMS:BPM_D2587:MAG_RD
FS1_BMS:BPM_D2600,FS1_BMS:BPM_D2600:XPOS_RD,FS1_BMS:BPM_D2600:YPOS_RD,FS1_BMS:BPM_D2600:PHASE_RD,FS1_BMS:BPM_D2600:MAG_RD
FS1_BMS:BPM_D2665,FS1_BMS:BPM_D2665:XPOS_RD,FS1_BMS:BPM_D2665:YPOS_RD,FS1_BMS:BPM_D2665:PHASE_RD,FS1_BMS:BPM_D2665:MAG_RD
FS1_BMS:BPM_D2690,FS1_BMS:BPM_D2690:XPOS_RD,FS1_BMS:BPM_D2690:YPOS_RD,FS1_BMS:BPM_D2690:PHASE_RD,FS1_BMS:BPM_D2690:MAG_RD
FS1_BMS:BPM_D2702,FS1_BMS:BPM_D2702:XPOS_RD,FS1_BMS:BPM_D2702:YPOS_RD,FS1_BMS:BPM_D2702:PHASE_RD,FS1_BMS:BPM_D2702:MAG_RD
LS2_WC01:BPM_D2742,LS2_WC01:BPM_D2742:XPOS_RD,LS2_WC01:BPM_D2742:YPOS_RD,LS2_WC01:BPM_D2742:PHASE_RD,LS2_WC01:BPM_D2742:MAG_RD
LS2_WC02:BPM_D2782,LS2_WC02:BPM_D2782:XPOS_RD,LS2_WC02:BPM_D2782:YPOS_RD,LS2_WC02:BPM_D2782:PHASE_RD,LS2_WC02:BPM_D2782:MAG_RD
LS2_WC03:BPM_D2821,LS2_WC03:BPM_D2821:XPOS_RD,LS2_WC03:BPM_D2821:YPOS_RD,LS2_WC03:BPM_D2821:PHASE_RD,LS2_WC03:BPM_D2821:MAG_RD
LS2_WC04:BPM_D2861,LS2_WC04:BPM_D2861:XPOS_RD,LS2_WC04:BPM_D2861:YPOS_RD,LS2_WC04:BPM_D2861:PHASE_RD,LS2_WC04:BPM_D2861:MAG_RD
LS2_WC05:BPM_D2901,LS2_WC05:BPM_D2901:XPOS_RD,LS2_WC05:BPM_D2901:YPOS_RD,LS2_WC05:BPM_D2901:PHASE_RD,LS2_WC05:BPM_D2901:MAG_RD
LS2_WC06:BPM_D2941,LS2_WC06:BPM_D2941:XPOS_RD,LS2_WC06:BPM_D2941:YPOS_RD,LS2_WC06:BPM_D2941:PHASE_RD,LS2_WC06:BPM_D2941:MAG_RD
LS2_WC07:BPM_D2981,LS2_WC07:BPM_D2981:XPOS_RD,LS2_WC07:BPM_D2981:YPOS_RD,LS2_WC07:BPM_D2981:PHASE_RD,LS2_WC07:BPM_D2981:MAG_RD
LS2_WC08:BPM_D3020,LS2_WC08:BPM_D3020:XPOS_RD,LS2_WC08:BPM_D3020:YPOS_RD,LS2_WC08:BPM_D3020:PHASE_RD,LS2_WC08:BPM_D3020:MAG_RD
LS2_WC09:BPM_D3060,LS2_WC09:BPM_D3060:XPOS_RD,LS2_WC09:BPM_D3060:YPOS_RD,LS2_WC09:BPM_D3060:PHASE_RD,LS2_WC09:BPM_D3060:MAG_RD
LS2_WC10:BPM_D3100,LS2_WC10:BPM_D3100:XPOS_RD,LS2_WC10:BPM_D3100:YPOS_RD,LS2_WC10:BPM_D3100:PHASE_RD,LS2_WC10:BPM_D3100:MAG_RD
LS2_WC11:BPM_D3140,LS2_WC11:BPM_D3140:XPOS_RD,LS2_WC11:BPM_D3140:YPOS_RD,LS2_WC11:BPM_D3140:PHASE_RD,LS2_WC11:BPM_D3140:MAG_RD
LS2_WC12:BPM_D3180,LS2_WC12:BPM_D3180:XPOS_RD,LS2_WC12:BPM_D3180:YPOS_RD,LS2_WC12:BPM_D3180:PHASE_RD,LS2_WC12:BPM_D3180:MAG_RD
LS2_WD01:BPM_D3242,LS2_WD01:BPM_D3242:XPOS_RD,LS2_WD01:BPM_D3242:YPOS_RD,LS2_WD01:BPM_D3242:PHASE_RD,LS2_WD01:BPM_D3242:MAG_RD
LS2_WD02:BPM_D3304,LS2_WD02:BPM_D3304:XPOS_RD,LS2_WD02:BPM_D3304:YPOS_RD,LS2_WD02:BPM_D3304:PHASE_RD,LS2_WD02:BPM_D3304:MAG_RD
LS2_WD03:BPM_D3366,LS2_WD03:BPM_D3366:XPOS_RD,LS2_WD03:BPM_D3366:YPOS_RD,LS2_WD03:BPM_D3366:PHASE_RD,LS2_WD03:BPM_D3366:MAG_RD
